OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,isPurebred,ReproductiveStatus
1,Dog,Male,Baby,German Shepherd Mix,Black/Brown,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby,0,Intact
0,Dog,Female,Baby,American Staffordshire Terrier Mix,Chocolate/White,0,Neutered
0,Dog,Female,Adult,Chihuahua Shorthair Mix,Tan/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Cream Tabby/White,0,Neutered
1,Cat,Male,Adult,Russian Blue Mix,Blue,0,Neutered
3,Cat,Female,Adult,Domestic Shorthair Mix,Calico,0,Neutered
2,Dog,Male,Baby,Labrador Retriever Mix,Black/White,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Torbie,0,Neutered
1,Dog,Male,Adult,Collie Smooth/German Shepherd,Black/Brown,0,Neutered
2,Dog,Male,Adult,Chihuahua Shorthair Mix,Brown,0,Neutered
3,Dog,Male,Adult,Labrador Retriever Mix,Yellow,0,Intact
1,Dog,Male,Adult,Pit Bull Mix,Brown/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Blue/White,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Female,Adult,Domestic Shorthair Mix,Blue Tabby,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
2,Cat,Male,Adult,Domestic Longhair Mix,Black/White,0,Intact
0,Cat,Male,Adolescent,Domestic Shorthair Mix,Black/White,0,Neutered
1,Dog,Male,Senior,Beagle,Tricolor,1,Neutered
1,Cat,Female,Senior,Domestic Shorthair Mix,Black/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Dog,Female,Baby,German Shepherd Mix,Black/Brown,0,Neutered
3,Dog,Male,Adult,Labrador Retriever/Pit Bull,Chocolate/White,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Tortie,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Blue Tabby/White,0,Intact
0,Dog,Male,Adolescent,Blue Lacy Mix,Gray/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Calico,0,Neutered
2,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Tan,0,Intact
1,Dog,Female,Adult,Black Mouth Cur Mix,Black/Tan,0,Neutered
0,Dog,Male,Adolescent,Beagle/Dachshund,Brown/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Orange Tabby/White,0,Intact
3,Dog,Female,Senior,Yorkshire Terrier Mix,Black/Brown,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Dog,Female,Adolescent,Dachshund Mix,Tan/White,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Black,0,Unknown
1,Dog,Female,Adult,Maltese Mix,White,0,Neutered
2,Dog,Male,Baby,Pointer Mix,Black/White,0,Neutered
2,Dog,Female,Baby,English Foxhound,Buff,1,Intact
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Unknown
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Red,0,Neutered
0,Dog,Male,Baby,Vizsla Mix,Brown,0,Neutered
2,Dog,Male,Adolescent,Pit Bull Mix,Brown Brindle/White,0,Neutered
0,Dog,Female,Adult,German Shepherd/Great Pyrenees,White,0,Neutered
1,Cat,Female,Adolescent,Domestic Shorthair Mix,Black,0,Intact
1,Dog,Female,Adult,Yorkshire Terrier Mix,Blue/Tan,0,Neutered
2,Dog,Female,Adolescent,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,0,Neutered
0,Cat,Female,Baby,Domestic Longhair,Brown Tabby,1,Neutered
3,Cat,Female,Adolescent,Domestic Shorthair Mix,Calico,0,Intact
0,Dog,Male,Baby,Chow Chow/Pit Bull,Black,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Neutered
0,Dog,Male,Adolescent,Chihuahua Shorthair,White,1,Neutered
3,Cat,Unknown,Baby,Domestic Shorthair Mix,Blue Tabby,0,Unknown
2,Cat,Unknown,Baby,Siamese Mix,Seal Point,0,Unknown
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Blue Tabby,0,Intact
3,Dog,Male,Senior,Pit Bull Mix,Brown Brindle,0,Neutered
0,Dog,Male,Adolescent,Beagle/Dachshund,Brown/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Intact
2,Dog,Female,Baby,Labrador Retriever Mix,Black/White,0,Intact
0,Cat,Female,Baby,Domestic Medium Hair Mix,Calico,0,Neutered
0,Dog,Male,Baby,Plott Hound Mix,Brown Brindle/White,0,Neutered
0,Dog,Female,Adult,Boxer/Great Dane,Black,0,Neutered
2,Dog,Female,Adult,Lhasa Apso,Black/White,1,Neutered
3,Dog,Female,Adolescent,German Shepherd Mix,Black/Tan,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Neutered
0,Dog,Female,Senior,Beagle/Treeing Walker Coonhound,Brown/White,0,Neutered
2,Dog,Male,Adolescent,Border Collie Mix,Black/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Neutered
2,Cat,Male,Adult,Domestic Shorthair Mix,Black/White,0,Intact
0,Dog,Male,Adult,Border Terrier Mix,Gray,0,Neutered
0,Dog,Male,Adult,Chihuahua Shorthair Mix,Tan/White,0,Neutered
2,Dog,Male,Adult,Boxer Mix,Brown Brindle/White,0,Neutered
2,Cat,Female,Baby,Domestic Medium Hair Mix,Blue,0,Intact
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Black,0,Unknown
2,Cat,Female,Adult,Domestic Shorthair Mix,Torbie,0,Neutered
1,Dog,Male,Adult,Cairn Terrier Mix,Tan/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
1,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Black/Tan,0,Neutered
0,Dog,Male,Adolescent,Dogo Argentino Mix,White,0,Neutered
1,Dog,Male,Senior,Dachshund Mix,Black/Brown,0,Neutered
1,Dog,Male,Adult,Beagle Mix,Tricolor,0,Neutered
3,Dog,Male,Adolescent,Chihuahua Shorthair/Dachshund,White/Yellow Brindle,0,Neutered
0,Dog,Female,Adolescent,Pit Bull Mix,Fawn/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
2,Dog,Male,Baby,Pit Bull Mix,Brown/White,0,Intact
3,Cat,Male,Adult,Domestic Shorthair Mix,Orange Tabby,0,Intact
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Tan,0,Neutered
2,Dog,Male,Baby,Chihuahua Shorthair Mix,Black/White,0,Intact
2,Cat,Female,Baby,Domestic Longhair Mix,Calico,0,Intact
1,Dog,Female,Adult,Chihuahua Shorthair Mix,Brown,0,Neutered
1,Dog,Male,Adult,Dachshund Mix,Black,0,Neutered
0,Dog,Male,Senior,Miniature Poodle/Miniature Schnauzer,Black,0,Neutered
0,Dog,Female,Baby,Labrador Retriever Mix,Black/White,0,Neutered
3,Cat,Female,Adult,Domestic Shorthair Mix,Tortie,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Dog,Male,Adult,Pit Bull,Black,1,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Brown/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
1,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Brown/White,0,Neutered
1,Dog,Female,Senior,Labrador Retriever Mix,Chocolate/White,0,Neutered
0,Dog,Female,Adult,Pit Bull Mix,Red/White,0,Neutered
1,Cat,Female,Adult,Domestic Shorthair Mix,Calico,0,Neutered
0,Dog,Female,Adolescent,Chihuahua Shorthair/Jack Russell Terrier,Black/White,0,Neutered
2,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Black/Tan,0,Neutered
1,Dog,Female,Adolescent,Pit Bull,Brown Brindle,1,Neutered
2,Cat,Male,Adolescent,Siamese Mix,Flame Point,0,Neutered
1,Dog,Female,Adolescent,Tibetan Terrier Mix,Brown,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Blue/White,0,Intact
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Tortie,0,Unknown
0,Dog,Female,Baby,Chihuahua Shorthair/Miniature Pinscher,Tricolor,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
0,Cat,Male,Adolescent,Domestic Medium Hair Mix,Cream Tabby,0,Neutered
2,Cat,Female,Adolescent,Domestic Medium Hair Mix,Brown Tabby/White,0,Neutered
0,Cat,Female,Baby,Domestic Medium Hair Mix,Calico,0,Neutered
0,Dog,Male,Baby,Labrador Retriever Mix,Yellow,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Female,Adolescent,Dachshund Mix,Tan,0,Neutered
2,Dog,Female,Baby,Dachshund Mix,Brown/White,0,Intact
0,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Calico,0,Intact
0,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Female,Adolescent,Blue Lacy Mix,Blue/White,0,Neutered
2,Dog,Male,Baby,Rat Terrier Mix,Tricolor,0,Neutered
1,Dog,Female,Adolescent,Dachshund Longhair,Brown,1,Neutered
2,Dog,Male,Adolescent,Pit Bull Mix,Red,0,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Brown/White,0,Neutered
0,Cat,Female,Baby,Domestic Longhair,Calico,1,Neutered
2,Dog,Female,Baby,Chihuahua Shorthair/Dachshund,Red,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Torbie,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Black Tabby/White,0,Neutered
2,Dog,Male,Adult,Chihuahua Shorthair Mix,Brown/White,0,Neutered
0,Cat,Male,Adult,Domestic Shorthair Mix,Black/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Calico/Tortie,0,Intact
0,Dog,Male,Baby,Border Collie Mix,Black/White,0,Neutered
0,Dog,Female,Baby,Labrador Retriever Mix,Black/White,0,Intact
1,Dog,Female,Senior,Maltese,White,1,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Blue Tabby/White,0,Neutered
1,Dog,Female,Baby,Labrador Retriever Mix,White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Blue Tabby,0,Intact
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Tan/White,0,Neutered
0,Dog,Male,Adolescent,Labrador Retriever/Rottweiler,Black/Brown,0,Neutered
2,Cat,Female,Senior,Domestic Shorthair Mix,Tortie,0,Neutered
0,Dog,Male,Baby,Dachshund/Manchester Terrier,Tricolor,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Dog,Female,Baby,Labrador Retriever/Plott Hound,Black/Brown Brindle,0,Neutered
1,Dog,Female,Adult,Chihuahua Shorthair/Rat Terrier,Tan/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Cream Tabby/White,0,Intact
1,Dog,Male,Adult,Siberian Husky,Gray/White,1,Neutered
2,Dog,Female,Adolescent,Australian Cattle Dog Mix,Tan/White,0,Neutered
1,Dog,Female,Adolescent,Pointer Mix,Black/White,0,Neutered
1,Dog,Male,Adolescent,Pit Bull Mix,Brown Brindle/White,0,Neutered
2,Cat,Female,Baby,Domestic Medium Hair Mix,Brown Tabby,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Intact
0,Dog,Female,Adolescent,Miniature Poodle/Yorkshire Terrier,Silver/Tan,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Dog,Female,Adult,German Shepherd Mix,White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
2,Dog,Female,Adult,Catahoula/Labrador Retriever,Tan/White,0,Neutered
0,Dog,Female,Adolescent,Miniature Poodle Mix,Black/White,0,Neutered
0,Dog,Female,Adult,Jack Russell Terrier/Pit Bull,Red,0,Neutered
0,Cat,Female,Adolescent,Domestic Shorthair Mix,Torbie,0,Neutered
0,Dog,Female,Adolescent,Queensland Heeler/Shetland Sheepdog,Black/Red Tick,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Cream Tabby/White,0,Neutered
0,Dog,Male,Adolescent,Catahoula Mix,Blue Merle,0,Neutered
0,Dog,Male,Adolescent,Labrador Retriever Mix,Black/White,0,Neutered
0,Dog,Male,Baby,Labrador Retriever Mix,Yellow,0,Neutered
1,Dog,Male,Adult,Chihuahua Shorthair Mix,Chocolate/Tan,0,Intact
2,Cat,Unknown,Adolescent,Domestic Longhair Mix,Black,0,Unknown
1,Dog,Male,Adolescent,American Pit Bull Terrier Mix,Tan/White,0,Neutered
0,Dog,Female,Adult,Dachshund Longhair Mix,Tan/White,0,Neutered
3,Cat,Male,Senior,Domestic Longhair Mix,Orange Tabby/White,0,Neutered
0,Dog,Female,Adolescent,German Shepherd Mix,Sable,0,Neutered
0,Dog,Male,Adult,Labrador Retriever Mix,Black/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Neutered
1,Dog,Female,Adolescent,Doberman Pinsch Mix,Tricolor,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Black,0,Neutered
2,Cat,Female,Senior,Domestic Shorthair Mix,Black,0,Intact
2,Dog,Female,Baby,Pointer Mix,Chocolate/White,0,Intact
0,Dog,Male,Baby,Dachshund/Jack Russell Terrier,Brown/White,0,Neutered
0,Dog,Male,Adolescent,Miniature Poodle/Miniature Schnauzer,Black/White,0,Neutered
0,Dog,Female,Adolescent,Whippet Mix,Brown Brindle/White,0,Neutered
1,Dog,Male,Adolescent,Australian Shepherd Mix,Brown Merle/White,0,Intact
0,Dog,Female,Adolescent,Labrador Retriever Mix,Tan/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Calico,0,Intact
2,Dog,Female,Adolescent,Pit Bull Mix,Brown Tiger/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
2,Dog,Male,Adult,Chihuahua Shorthair Mix,Brown/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Intact
2,Dog,Female,Adolescent,Rat Terrier Mix,Black/White,0,Neutered
0,Dog,Female,Baby,English Pointer Mix,Brown/White,0,Neutered
0,Dog,Female,Adolescent,Miniature Schnauzer/Yorkshire Terrier,Black/White,0,Neutered
0,Dog,Female,Adult,Cairn Terrier Mix,Buff,0,Neutered
3,Dog,Male,Senior,Labrador Retriever/Pit Bull,Black,0,Neutered
1,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Neutered
2,Dog,Female,Adult,Great Dane,Black/White,1,Neutered
1,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Black/White,0,Intact
1,Dog,Male,Adolescent,Chesa Bay Retr,Brown,1,Neutered
1,Dog,Male,Adult,German Shepherd,Black/Brown,1,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
0,Cat,Female,Adult,Domestic Shorthair Mix,Black/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
1,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Black/Tan,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
1,Dog,Female,Adult,Plott Hound Mix,Brown Brindle,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Black/Brown,0,Neutered
0,Cat,Male,Adult,Siamese Mix,Flame Point,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
0,Dog,Male,Adult,Chow Chow Mix,Red,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black,0,Intact
0,Dog,Female,Adult,English Pointer,Liver/White,1,Neutered
3,Cat,Male,Baby,Domestic Shorthair Mix,Blue Tabby/White,0,Intact
1,Dog,Female,Adolescent,Pit Bull Mix,Brown/White,0,Neutered
1,Dog,Female,Baby,Boxer Mix,Black/White,0,Intact
2,Dog,Male,Adult,Basset Hound/Labrador Retriever,Black/White,0,Neutered
1,Dog,Male,Adolescent,Labrador Retriever Mix,Buff,0,Neutered
2,Dog,Female,Adult,Airedale Terrier Mix,Tricolor,0,Neutered
0,Dog,Male,Adolescent,Chow Chow/Labrador Retriever,Brown,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
0,Dog,Male,Baby,Beagle/German Shepherd,Black/Brown,0,Neutered
0,Cat,Male,Baby,Manx Mix,Black/White,0,Neutered
2,Cat,Female,Adult,Domestic Shorthair Mix,Blue,0,Intact
2,Dog,Female,Adult,Chihuahua Shorthair/Rat Terrier,Tan/White,0,Neutered
0,Dog,Female,Adolescent,Pit Bull Mix,Black/White,0,Neutered
0,Dog,Female,Adolescent,Flat Coat Retriever Mix,Black/White,0,Neutered
2,Dog,Female,Senior,Cocker Spaniel,Buff,1,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Female,Senior,Chihuahua Shorthair Mix,Tan,0,Neutered
0,Cat,Female,Adolescent,Domestic Longhair Mix,Brown Tabby/White,0,Neutered
1,Dog,Female,Adult,Rat Terrier Mix,Black/White,0,Neutered
0,Dog,Male,Adolescent,Border Terrier/Chihuahua Shorthair,Black/Tan,0,Neutered
2,Dog,Male,Adult,Pit Bull Mix,Brown Brindle/White,0,Neutered
1,Dog,Female,Adult,Chihuahua Shorthair Mix,Black/Gray,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby,0,Unknown
3,Dog,Female,Adult,Pit Bull Mix,Tan/White,0,Neutered
0,Dog,Male,Adolescent,Chihuahua Longhair Mix,Black,0,Neutered
0,Dog,Male,Adolescent,Dachshund/Jack Russell Terrier,Brown/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Orange Tabby,0,Intact
1,Dog,Male,Adult,German Shepherd,Black/Brown,1,Neutered
1,Dog,Female,Adolescent,Rottweiler Mix,Black/Tan,0,Neutered
0,Dog,Male,Adolescent,Siberian Husky Mix,Cream/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Dog,Male,Adolescent,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black/White,0,Intact
2,Cat,Unknown,Unknown,Domestic Shorthair Mix,Blue,0,Unknown
2,Cat,Female,Adult,Domestic Shorthair Mix,Calico,0,Neutered
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Chocolate/White,0,Neutered
2,Dog,Male,Adolescent,Cairn Terrier Mix,Cream,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby,0,Neutered
1,Cat,Male,Baby,Domestic Shorthair,Black/White,1,Neutered
1,Dog,Male,Senior,Chihuahua Shorthair Mix,Chocolate/White,0,Intact
1,Dog,Male,Adult,Labrador Retriever Mix,Chocolate,0,Neutered
0,Dog,Male,Adolescent,Shih Tzu,Gray/White,1,Neutered
2,Dog,Female,Baby,Plott Hound Mix,Brown Brindle,0,Neutered
0,Dog,Male,Adolescent,Australian Shepherd Mix,Tan/White,0,Neutered
0,Dog,Male,Adult,Chihuahua Shorthair Mix,Tan/White,0,Neutered
2,Cat,Female,Baby,Domestic Longhair Mix,Black/White,0,Intact
0,Dog,Male,Adolescent,Border Collie/Labrador Retriever,Black/White,0,Neutered
3,Cat,Female,Baby,Siamese Mix,Blue Point,0,Intact
3,Dog,Male,Adult,Chihuahua Shorthair Mix,Brown/White,0,Neutered
0,Cat,Male,Senior,Domestic Medium Hair Mix,Orange Tabby,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Calico,0,Neutered
0,Dog,Female,Baby,Australian Cattle Dog Mix,Brown/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Tortie,0,Neutered
3,Dog,Male,Adolescent,Great Dane/Labrador Retriever,Black/Tan,0,Intact
1,Dog,Male,Adult,Dachshund Mix,Brown,0,Neutered
2,Dog,Female,Adolescent,Boxer Mix,Brown Brindle/White,0,Neutered
2,Dog,Female,Adolescent,Labrador Retriever Mix,Tan/White,0,Neutered
2,Dog,Male,Adult,Miniature Poodle/Shih Tzu,Apricot/White,0,Neutered
0,Cat,Male,Baby,Domestic Medium Hair Mix,Blue/White,0,Neutered
2,Dog,Male,Adolescent,Pit Bull Mix,Red,0,Neutered
0,Dog,Female,Baby,Australian Cattle Dog Mix,Black/Red Merle,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Neutered
0,Cat,Male,Senior,Domestic Shorthair Mix,Black/White,0,Neutered
1,Cat,Male,Adult,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Brown/White,0,Neutered
2,Dog,Male,Baby,Australian Cattle Dog Mix,Brown/White,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Tortie,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Male,Adult,German Shepherd Mix,Brown,0,Neutered
2,Cat,Male,Adult,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
0,Dog,Female,Adolescent,Pointer Mix,Chocolate/White,0,Neutered
2,Cat,Female,Baby,Domestic Medium Hair Mix,Calico,0,Intact
2,Dog,Female,Adolescent,Miniature Poodle Mix,Black/Gray,0,Neutered
1,Dog,Female,Senior,Chow Chow/Collie Smooth,Sable,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Calico,0,Intact
0,Dog,Male,Baby,Cocker Spaniel Mix,Sable,0,Neutered
1,Dog,Male,Senior,Chihuahua Shorthair Mix,Tricolor,0,Neutered
0,Dog,Male,Baby,Labrador Retriever Mix,Buff,0,Neutered
2,Cat,Male,Baby,Siamese Mix,Seal Point,0,Intact
0,Dog,Female,Adolescent,Labrador Retriever/Rottweiler,Black/Tan,0,Neutered
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Black/Brown,0,Neutered
0,Dog,Male,Baby,Boxer Mix,Tricolor,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Blue Tabby,0,Unknown
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Tan,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
1,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
2,Dog,Female,Adult,Rat Terrier Mix,Black/White,0,Neutered
0,Dog,Male,Baby,German Shepherd/Siberian Husky,Red/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,White,0,Intact
2,Dog,Male,Adult,Dachshund,Blue Merle/White,1,Intact
0,Dog,Female,Baby,Border Collie/Labrador Retriever,Black/White,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Blue Tabby,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Torbie,0,Intact
1,Dog,Female,Adolescent,Pit Bull Mix,Fawn,0,Intact
0,Dog,Male,Baby,Collie Smooth/Labrador Retriever,Tricolor,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Female,Baby,Siamese Mix,Lynx Point/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
0,Dog,Male,Adult,Plott Hound/Rhod Ridgeback,Brown Brindle,0,Neutered
1,Dog,Female,Adolescent,Pit Bull Mix,Fawn/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Neutered
0,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Tan/White,0,Neutered
