OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,isPurebred,Breed 1,Breed 2,Color 1,Color 2
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Adoption,Dog,Neutered Male,2 years,0,Blue Lacy Mix,Blue Lacy Mix,Gray,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Cat,Intact Male,1 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Transfer,Dog,Intact Male,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Return_to_owner,Dog,Spayed Female,4 years,0,Black Mouth Cur Mix,Black Mouth Cur Mix,Black,Tan
Adoption,Dog,Neutered Male,2 years,0,Beagle,Dachshund,Brown,White
Transfer,Cat,Intact Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Euthanasia,Dog,Spayed Female,11 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Brown
Transfer,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,2 years,0,Dachshund Mix,Dachshund Mix,Tan,White
Transfer,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Spayed Female,6 years,0,Maltese Mix,Maltese Mix,White,White
Transfer,Dog,Neutered Male,6 months,0,Pointer Mix,Pointer Mix,Black,White
Transfer,Dog,Intact Female,2 months,1,English Foxhound,English Foxhound,Buff,Buff
Transfer,Cat,Unknown,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red,Red
Adoption,Dog,Neutered Male,2 months,0,Vizsla Mix,Vizsla Mix,Brown,Brown
Transfer,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,White
Adoption,Dog,Spayed Female,3 years,0,German Shepherd,Great Pyrenees,White,White
Return_to_owner,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Spayed Female,4 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Blue,Tan
Transfer,Dog,Spayed Female,2 years,0,Cardigan Welsh Corgi,Chihuahua Shorthair,Tan,Tan
Adoption,Cat,Spayed Female,3 months,1,Domestic Longhair,Domestic Longhair,Brown Tabby,Brown Tabby
Euthanasia,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Dog,Neutered Male,2 months,0,Chow Chow,Pit Bull,Black,Black
Transfer,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Neutered Male,1 year,1,Chihuahua Shorthair,Chihuahua Shorthair,White,White
Euthanasia,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Cat,Unknown,4 weeks,0,Siamese Mix,Siamese Mix,Seal Point,Seal Point
Transfer,Cat,Intact Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Euthanasia,Dog,Neutered Male,12 years,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,Brown Brindle
Adoption,Dog,Neutered Male,1 year,0,Beagle,Dachshund,Brown,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Intact Female,3 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Cat,Spayed Female,3 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Calico
Adoption,Dog,Neutered Male,5 months,0,Plott Hound Mix,Plott Hound Mix,Brown Brindle,White
Adoption,Dog,Spayed Female,3 years,0,Boxer,Great Dane,Black,Black
Transfer,Dog,Spayed Female,7 years,1,Lhasa Apso,Lhasa Apso,Black,White
Euthanasia,Dog,Spayed Female,2 years,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Adoption,Cat,Spayed Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,9 years,0,Beagle,Treeing Walker Coonhound,Brown,White
Transfer,Dog,Neutered Male,7 months,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Neutered Male,3 years,0,Border Terrier Mix,Border Terrier Mix,Gray,Gray
Adoption,Dog,Neutered Male,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Transfer,Dog,Neutered Male,5 years,0,Boxer Mix,Boxer Mix,Brown Brindle,White
Transfer,Cat,Intact Female,2 weeks,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue,Blue
Transfer,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Spayed Female,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Return_to_owner,Dog,Neutered Male,4 years,0,Cairn Terrier Mix,Cairn Terrier Mix,Tan,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Tan
Adoption,Dog,Neutered Male,2 years,0,Dogo Argentino Mix,Dogo Argentino Mix,White,White
Return_to_owner,Dog,Neutered Male,9 years,0,Dachshund Mix,Dachshund Mix,Black,Brown
Return_to_owner,Dog,Neutered Male,5 years,0,Beagle Mix,Beagle Mix,Tricolor,Tricolor
Euthanasia,Dog,Neutered Male,1 year,0,Chihuahua Shorthair,Dachshund,White,Yellow Brindle
Adoption,Dog,Spayed Female,2 years,0,Pit Bull Mix,Pit Bull Mix,Fawn,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Intact Male,5 months,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Euthanasia,Cat,Intact Male,6 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Transfer,Dog,Intact Male,3 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Transfer,Cat,Intact Female,1 month,0,Domestic Longhair Mix,Domestic Longhair Mix,Calico,Calico
Return_to_owner,Dog,Spayed Female,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Brown
Return_to_owner,Dog,Neutered Male,5 years,0,Dachshund Mix,Dachshund Mix,Black,Black
Adoption,Dog,Neutered Male,8 years,0,Miniature Poodle,Miniature Schnauzer,Black,Black
Adoption,Dog,Spayed Female,2 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Euthanasia,Cat,Intact Female,7 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Neutered Male,5 years,1,Pit Bull,Pit Bull,Black,Black
Adoption,Dog,Neutered Male,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Transfer,Cat,Intact Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Neutered Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Return_to_owner,Dog,Spayed Female,9 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate,White
Adoption,Dog,Spayed Female,3 years,0,Pit Bull Mix,Pit Bull Mix,Red,White
Return_to_owner,Cat,Spayed Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair,Jack Russell Terrier,Black,White
Transfer,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Tan
Return_to_owner,Dog,Spayed Female,1 year,1,Pit Bull,Pit Bull,Brown Brindle,Brown Brindle
Transfer,Cat,Neutered Male,2 years,0,Siamese Mix,Siamese Mix,Flame Point,Flame Point
Return_to_owner,Dog,Spayed Female,2 years,0,Tibetan Terrier Mix,Tibetan Terrier Mix,Brown,Brown
Transfer,Cat,Intact Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Transfer,Cat,Unknown,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Spayed Female,1 month,0,Chihuahua Shorthair,Miniature Pinscher,Tricolor,Tricolor
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Cat,Neutered Male,10 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,Cream Tabby
Transfer,Cat,Spayed Female,2 years,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Calico
Adoption,Dog,Neutered Male,6 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,1 year,0,Dachshund Mix,Dachshund Mix,Tan,Tan
Transfer,Dog,Intact Female,6 months,0,Dachshund Mix,Dachshund Mix,Brown,White
Adoption,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Cat,Neutered Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,11 months,0,Blue Lacy Mix,Blue Lacy Mix,Blue,White
Transfer,Dog,Neutered Male,3 months,0,Rat Terrier Mix,Rat Terrier Mix,Tricolor,Tricolor
Return_to_owner,Dog,Spayed Female,2 years,1,Dachshund Longhair,Dachshund Longhair,Brown,Brown
Transfer,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Red,Red
Adoption,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Adoption,Cat,Spayed Female,4 months,1,Domestic Longhair,Domestic Longhair,Calico,Calico
Transfer,Dog,Intact Female,4 months,0,Chihuahua Shorthair,Dachshund,Red,Red
Transfer,Cat,Intact Female,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black Tabby,White
Transfer,Dog,Neutered Male,7 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Adoption,Cat,Neutered Male,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Tortie
Adoption,Dog,Neutered Male,6 months,0,Border Collie Mix,Border Collie Mix,Black,White
Adoption,Dog,Intact Female,5 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Return_to_owner,Dog,Spayed Female,8 years,1,Maltese,Maltese,White,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Return_to_owner,Dog,Spayed Female,5 months,0,Labrador Retriever Mix,Labrador Retriever Mix,White,White
Transfer,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Adoption,Dog,Neutered Male,2 years,0,Labrador Retriever,Rottweiler,Black,Brown
Transfer,Cat,Spayed Female,11 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Neutered Male,2 months,0,Dachshund,Manchester Terrier,Tricolor,Tricolor
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,1 month,0,Labrador Retriever,Plott Hound,Black,Brown Brindle
Return_to_owner,Dog,Spayed Female,7 years,0,Chihuahua Shorthair,Rat Terrier,Tan,White
Transfer,Cat,Intact Male,4 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,White
Return_to_owner,Dog,Neutered Male,4 years,1,Siberian Husky,Siberian Husky,Gray,White
Transfer,Dog,Spayed Female,2 years,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Tan,White
Return_to_owner,Dog,Spayed Female,1 year,0,Pointer Mix,Pointer Mix,Black,White
Return_to_owner,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,White
Transfer,Cat,Intact Female,4 weeks,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Spayed Female,2 years,0,Miniature Poodle,Yorkshire Terrier,Silver,Tan
Transfer,Cat,Intact Male,10 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Dog,Spayed Female,4 years,0,German Shepherd Mix,German Shepherd Mix,White,White
Adoption,Cat,Spayed Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Dog,Spayed Female,6 years,0,Catahoula,Labrador Retriever,Tan,White
Adoption,Dog,Spayed Female,9 months,0,Miniature Poodle Mix,Miniature Poodle Mix,Black,White
Adoption,Dog,Spayed Female,3 years,0,Jack Russell Terrier,Pit Bull,Red,Red
Adoption,Cat,Spayed Female,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Adoption,Dog,Spayed Female,10 months,0,Queensland Heeler,Shetland Sheepdog,Black,Red Tick
Transfer,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,White
Adoption,Dog,Neutered Male,1 year,0,Catahoula Mix,Catahoula Mix,Blue Merle,Blue Merle
Adoption,Dog,Neutered Male,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Dog,Neutered Male,3 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Return_to_owner,Dog,Intact Male,6 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate,Tan
Transfer,Cat,Unknown,1 year,0,Domestic Longhair Mix,Domestic Longhair Mix,Black,Black
Return_to_owner,Dog,Neutered Male,2 years,0,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Tan,White
Adoption,Dog,Spayed Female,5 years,0,Dachshund Longhair Mix,Dachshund Longhair Mix,Tan,White
Euthanasia,Cat,Neutered Male,12 years,0,Domestic Longhair Mix,Domestic Longhair Mix,Orange Tabby,White
Adoption,Dog,Spayed Female,2 years,0,German Shepherd Mix,German Shepherd Mix,Sable,Sable
Adoption,Dog,Neutered Male,6 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Cat,Neutered Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Spayed Female,8 months,0,Doberman Pinsch Mix,Doberman Pinsch Mix,Tricolor,Tricolor
Transfer,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Female,15 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Intact Female,3 weeks,0,Pointer Mix,Pointer Mix,Chocolate,White
Adoption,Dog,Neutered Male,5 months,0,Dachshund,Jack Russell Terrier,Brown,White
Adoption,Dog,Neutered Male,2 years,0,Miniature Poodle,Miniature Schnauzer,Black,White
Adoption,Dog,Spayed Female,2 years,0,Whippet Mix,Whippet Mix,Brown Brindle,White
Return_to_owner,Dog,Intact Male,2 years,0,Australian Shepherd Mix,Australian Shepherd Mix,Brown Merle,White
Adoption,Dog,Spayed Female,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Tan,White
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Transfer,Dog,Spayed Female,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown Tiger,White
Transfer,Cat,Intact Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Cat,Intact Male,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Neutered Male,4 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Spayed Female,1 year,0,Rat Terrier Mix,Rat Terrier Mix,Black,White
Adoption,Dog,Spayed Female,2 months,0,English Pointer Mix,English Pointer Mix,Brown,White
Adoption,Dog,Spayed Female,1 year,0,Miniature Schnauzer,Yorkshire Terrier,Black,White
Adoption,Dog,Spayed Female,3 years,0,Cairn Terrier Mix,Cairn Terrier Mix,Buff,Buff
Euthanasia,Dog,Neutered Male,9 years,0,Labrador Retriever,Pit Bull,Black,Black
Return_to_owner,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Dog,Spayed Female,5 years,1,Great Dane,Great Dane,Black,White
Return_to_owner,Dog,Intact Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,2 years,1,Chesa Bay Retr,Chesa Bay Retr,Brown,Brown
Return_to_owner,Dog,Neutered Male,7 years,1,German Shepherd,German Shepherd,Black,Brown
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,6 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Return_to_owner,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Tan
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Return_to_owner,Dog,Spayed Female,6 years,0,Plott Hound Mix,Plott Hound Mix,Brown Brindle,Brown Brindle
Transfer,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Brown
Adoption,Cat,Neutered Male,7 years,0,Siamese Mix,Siamese Mix,Flame Point,Flame Point
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Neutered Male,3 years,0,Chow Chow Mix,Chow Chow Mix,Red,Red
Transfer,Cat,Intact Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,7 years,1,English Pointer,English Pointer,Liver,White
Euthanasia,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Return_to_owner,Dog,Spayed Female,2 years,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Return_to_owner,Dog,Intact Female,5 months,0,Boxer Mix,Boxer Mix,Black,White
Transfer,Dog,Neutered Male,4 years,0,Basset Hound,Labrador Retriever,Black,White
Return_to_owner,Dog,Neutered Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Buff,Buff
Transfer,Dog,Spayed Female,7 years,0,Airedale Terrier Mix,Airedale Terrier Mix,Tricolor,Tricolor
Adoption,Dog,Neutered Male,1 year,0,Chow Chow,Labrador Retriever,Brown,Brown
Transfer,Cat,Neutered Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Dog,Neutered Male,1 month,0,Beagle,German Shepherd,Black,Brown
Adoption,Cat,Neutered Male,2 months,0,Manx Mix,Manx Mix,Black,White
Transfer,Cat,Intact Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Transfer,Dog,Spayed Female,4 years,0,Chihuahua Shorthair,Rat Terrier,Tan,White
